"Date","Time","Identity","Internal IP Address","External IP Address","Action","Destination","Categories"
"2014-06-07","20:15:53","Dave Heermance","96.31.250.226","96.31.250.226","Blocked","http://www.gocricket.com/scorewidget.cms?utm_source=TILnetwork&utm_medium=referral&utm_campaign=GCSWDGTtoi","Enterprise Malware"
"2014-06-07","20:10:35","Dave Heermance","96.31.250.226","96.31.250.226","Blocked","http://www.gocricket.com/scorewidget.cms?utm_source=TILnetwork&utm_medium=referral&utm_campaign=GCSWDGTtoi","Enterprise Malware"
"2014-06-07","20:09:02","Dave Heermance","96.31.250.226","96.31.250.226","Blocked","http://www.gocricket.com/scorewidget.cms?utm_source=TILnetwork&utm_medium=referral&utm_campaign=GCSWDGTtoi","Enterprise Malware"
"2014-06-07","13:10:47","CROSSTOWN-T-PC","96.31.250.226","96.31.250.226","Blocked","http://redir.adap.tv/redir/client/FPSDetector.swf","Enterprise Malware"
"2014-06-07","13:10:46","CROSSTOWN-T-PC","96.31.250.226","96.31.250.226","Blocked","http://redir.adap.tv/redir/client/FPSDetector.swf","Enterprise Malware"
"2014-06-07","13:10:46","CROSSTOWN-T-PC","96.31.250.226","96.31.250.226","Blocked","http://redir.adap.tv/redir/client/FPSDetector.swf","Enterprise Malware"
"2014-06-07","13:10:46","CROSSTOWN-T-PC","96.31.250.226","96.31.250.226","Blocked","http://redir.adap.tv/redir/client/FPSDetector.swf","Enterprise Malware"
"2014-06-07","13:10:21","CROSSTOWN-T-PC","96.31.250.226","96.31.250.226","Blocked","http://redir.adap.tv/redir/client/FPSDetector.swf","Enterprise Malware"
"2014-06-07","13:10:21","CROSSTOWN-T-PC","96.31.250.226","96.31.250.226","Blocked","http://redir.adap.tv/redir/client/FPSDetector.swf","Enterprise Malware"
"2014-06-07","13:10:21","CROSSTOWN-T-PC","96.31.250.226","96.31.250.226","Blocked","http://redir.adap.tv/redir/client/FPSDetector.swf","Enterprise Malware"
"2014-06-07","13:10:21","CROSSTOWN-T-PC","96.31.250.226","96.31.250.226","Blocked","http://redir.adap.tv/redir/client/FPSDetector.swf","Enterprise Malware"
"2014-06-07","13:02:38","CROSSTOWN-T-PC","96.31.250.226","96.31.250.226","Blocked","http://redir.adap.tv/redir/client/FPSDetector.swf","Enterprise Malware"
"2014-06-07","13:02:38","CROSSTOWN-T-PC","96.31.250.226","96.31.250.226","Blocked","http://redir.adap.tv/redir/client/FPSDetector.swf","Enterprise Malware"
"2014-06-07","13:02:38","CROSSTOWN-T-PC","96.31.250.226","96.31.250.226","Blocked","http://redir.adap.tv/redir/client/FPSDetector.swf","Enterprise Malware"
"2014-06-07","13:02:38","CROSSTOWN-T-PC","96.31.250.226","96.31.250.226","Blocked","http://redir.adap.tv/redir/client/FPSDetector.swf","Enterprise Malware"
"2014-06-07","13:01:59","CROSSTOWN-T-PC","96.31.250.226","96.31.250.226","Blocked","http://redir.adap.tv/redir/client/FPSDetector.swf","Enterprise Malware"
"2014-06-07","13:01:59","CROSSTOWN-T-PC","96.31.250.226","96.31.250.226","Blocked","http://redir.adap.tv/redir/client/FPSDetector.swf","Enterprise Malware"
"2014-06-07","13:01:59","CROSSTOWN-T-PC","96.31.250.226","96.31.250.226","Blocked","http://redir.adap.tv/redir/client/FPSDetector.swf","Enterprise Malware"
"2014-06-07","13:01:59","CROSSTOWN-T-PC","96.31.250.226","96.31.250.226","Blocked","http://redir.adap.tv/redir/client/FPSDetector.swf","Enterprise Malware"
"2014-06-07","13:01:24","CROSSTOWN-T-PC","96.31.250.226","96.31.250.226","Blocked","http://redir.adap.tv/redir/client/FPSDetector.swf","Enterprise Malware"
"2014-06-07","13:01:24","CROSSTOWN-T-PC","96.31.250.226","96.31.250.226","Blocked","http://redir.adap.tv/redir/client/FPSDetector.swf","Enterprise Malware"
"2014-06-07","13:01:24","CROSSTOWN-T-PC","96.31.250.226","96.31.250.226","Blocked","http://redir.adap.tv/redir/client/FPSDetector.swf","Enterprise Malware"
"2014-06-07","13:01:23","CROSSTOWN-T-PC","96.31.250.226","96.31.250.226","Blocked","http://redir.adap.tv/redir/client/FPSDetector.swf","Enterprise Malware"
"2014-06-05","17:43:52","Adam","10.0.0.62","96.31.250.226","Blocked","rtbstream.com","Enterprise Malware"
"2014-06-05","17:43:51","Adam","10.0.0.62","96.31.250.226","Blocked","rtbstream.com","Enterprise Malware"
"2014-06-07","00:23:25","Dave Heermance","96.31.250.226","96.31.250.226","Blocked","http://cdn.cxpublic.com/master-data-template.html","Enterprise Malware"
"2014-06-06","23:59:08","Default Site","96.31.250.226","96.31.250.226","Blocked","http://cdn.tacoda.at.atwola.com/an/qseg.html","Enterprise Malware"
"2014-06-04","20:52:15","Default Site","10.0.0.64","96.31.250.226","Blocked","customize.org","High Risk Sites and Locations,Enterprise Malware"
"2014-06-06","22:11:10","Default Site","96.31.250.226","96.31.250.226","Blocked","http://www.da-ads.com/google.html?cb=1401082345","Enterprise Malware"
